key,cited_num,pr,fi,div,dfk,exp_dfk
60289,4,0.007536164,0.001776662,0.008193292,0.352464706,1.422569446
29056,1,0.007536163,0.001705815,0.005830348,0,1
19045,3,0.007536119,0.001739676,0.00925185,0.467579127,1.596125495
72877,2,0.007536115,0.001708718,0.009337429,0.471460518,1.602332721
66013,2,0.007536097,0.001724791,0.009348366,0.47539629,1.608651564
61424,1,0.007536091,0.001709743,0.005826348,0,1
67403,1,0.007536036,0.001802072,0.005733964,0,1
121627,2,0.007536019,0.001689023,0.007922497,0.303778468,1.354968853
29411,3,0.007535985,0.001751095,0.008597542,0.396227023,1.486206682
12784,1,0.007535949,0.001708111,0.005827838,0,1
42300,1,0.007535943,0.001709709,0.005826234,0,1
104086,2,0.007535941,0.001721732,0.01049724,0.590807664,1.80544602
48358,2,0.007535868,0.001734892,0.007309843,0.231195635,1.260105736
84325,1,0.007535867,0.001742046,0.005793821,0,1
111867,1,0.007535862,0.001764653,0.005771209,0,1
97133,2,0.007535849,0.001727711,0.010391126,0.581692121,1.789063182
107980,5,0.007535833,0.00180675,0.012409246,0.772886374,2.166009152
111965,1,0.007535806,0.001780984,0.005754822,0,1
87702,1,0.007535795,0.001717021,0.005818774,0,1
17980,3,0.007535794,0.001718381,0.013761592,0.861025833,2.365586147
93770,2,0.007535784,0.001725862,0.012923178,0.799455303,2.224329013
91288,3,0.007535762,0.001732895,0.010980835,0.637799408,1.892312087
107064,1,0.007535729,0.001767749,0.00576798,0,1
61094,1,0.007535705,0.00173453,0.005801175,0,1
74934,2,0.007535704,0.001739172,0.010048261,0.550139773,1.733495297
92098,1,0.007535669,0.001688927,0.005846742,0,1
108407,1,0.007535667,0.001717387,0.00581828,0,1
50595,1,0.007535646,0.001720839,0.005814807,0,1
114616,1,0.007535622,0.001765006,0.005770616,0,1
114460,2,0.007535546,0.00176501,0.007349362,0.24184849,1.273601215
61371,1,0.007535546,0.001732692,0.005802854,0,1
75343,1,0.007535539,0.001773989,0.00576155,0,1
39507,2,0.007535499,0.001800919,0.012570219,0.784815932,2.192003427
4751,1,0.007535463,0.001714139,0.005821324,0,1
83367,2,0.007535458,0.001716526,0.013624425,0.85074741,2.341396181
114267,3,0.007535448,0.001747083,0.011392688,0.677121841,1.968204765
102969,1,0.007535438,0.001707228,0.00582821,0,1
11840,1,0.007535424,0.001729458,0.005805966,0,1
106557,1,0.007535399,0.00172026,0.005815139,0,1
55102,2,0.007535392,0.001713241,0.01267895,0.77827339,2.177708964
47957,1,0.007535378,0.001716277,0.005819101,0,1
40317,1,0.007535369,0.001716953,0.005818416,0,1
11352,1,0.007535364,0.001728673,0.005806691,0,1
11324,1,0.007535321,0.001713276,0.005822045,0,1
29078,3,0.007535306,0.00170929,0.013079198,0.808689625,2.244964314
6676,1,0.007535291,0.001752725,0.005782566,0,1
38486,1,0.007535286,0.00169514,0.005840146,0,1
13799,3,0.007535285,0.001726178,0.01141617,0.675603899,1.965219412
4184,1,0.007535265,0.001759751,0.005775514,0,1
91242,2,0.007535258,0.001732652,0.011227862,0.66009123,1.934968854
18884,5,0.007535249,0.00174666,0.01023111,0.569544527,1.767461837
47265,3,0.00753524,0.001758525,0.007978186,0.322875869,1.381093904
